City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
267,Namatanai,PG,85.42,broken clouds,-3.6667,152.4333,Namatanai Hotel
268,Pochutla,MX,88.0,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
276,Sao Joao Da Barra,BR,76.57,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
282,Afua,BR,76.06,overcast clouds,-0.1567,-50.3867,Hotel Dias
284,Honiara,SB,84.15,broken clouds,-9.4333,159.95,Heritage Park Hotel
288,Bourail,NC,80.69,scattered clouds,-21.5667,165.4833,Motel Allamanda
289,Calabozo,VE,88.65,overcast clouds,8.9242,-67.4293,Hotel Giardini
291,Awjilah,LY,76.73,broken clouds,29.1081,21.2869,
296,Xuddur,SO,75.58,clear sky,4.1213,43.8894,Banjanay Hotel
297,Biltine,TD,85.62,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
301,Benguela,AO,79.03,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
304,Isangel,VU,81.14,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
309,Moussoro,TD,86.41,clear sky,13.6408,16.4901,Pharmacie alnadja Moussoro
314,Mount Isa,AU,80.6,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
324,Ixtapa,MX,77.0,clear sky,20.7,-105.2,Hotel Plaza Providencia
331,Mareeba,AU,84.0,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
334,Touros,BR,78.8,clear sky,-5.1989,-35.4608,INN NEW HORIZON
336,Merauke,ID,80.28,overcast clouds,-8.4667,140.3333,PC
339,Belmonte,BR,77.0,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
340,Bubaque,GW,78.26,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
343,Satun,TH,77.0,few clouds,6.8333,100.0,บ้านไทโฮมสเตย์&รีสอร์ท จ.สตูล
351,Luanda,AO,80.6,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
354,Dhidhdhoo,MV,82.85,scattered clouds,6.8833,73.1,Dhidhoo beach
357,Buchanan,LR,75.2,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
368,Cabedelo,BR,77.0,clear sky,-6.9811,-34.8339,Hotel Pigalle
370,Pimentel,PE,78.8,clear sky,-6.8367,-79.9342,Casona Del Muelle
371,Matara,LK,75.81,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
373,Popondetta,PG,86.72,overcast clouds,-8.7537,148.2534,Timos Transit House
374,Lima,PE,75.99,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
376,Damara,CF,78.8,broken clouds,4.9608,18.7035,
378,Porto Novo,BJ,82.4,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
383,Keti Bandar,PK,75.06,clear sky,24.1447,67.4497,Haji laloo memon house
386,Lorengau,PG,84.27,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
